run_id,config_id,coupling,seed,net_disp,path_len,phase_coherence,straightness
38,3,1.0,8,0.7517624964650679,1.0479614408152416,0.9963096675827798,0.7173570201974689
39,3,1.0,9,0.7432951618682073,1.0554830471840797,0.9638815038251568,0.7042227384430688
40,4,2.0,0,0.7517186654977424,1.047632275722156,0.9973002907213662,0.7175405749880759
41,4,2.0,1,0.7528199964844775,1.0530230133001872,0.9845818677406918,0.7149131471734225
42,4,2.0,2,0.7429681156446327,1.0398475353108718,0.9953017145112044,0.7144971646468495
43,4,2.0,3,0.7317903952414947,1.0417623853455522,0.9876325770205324,0.7024542309605084
44,4,2.0,4,0.7527553177329668,1.04740493658732,0.994691309064988,0.7186860510564447
45,4,2.0,5,0.7446453226068039,1.0393421586265064,0.9966897364432392,0.7164583062721663
46,4,2.0,6,0.7480110274848087,1.0421397385186215,0.9999987402839728,0.7177646143194671
47,4,2.0,7,0.7150785617954794,1.0486581775628192,0.9640771988800684,0.6818986177720843
48,4,2.0,8,0.7488710495267353,1.0443833671118408,0.998107031876324,0.7170461279919449
49,4,2.0,9,0.7447637832534715,1.0460214026228334,0.9816213793559678,0.7119966966125385
50,5,4.0,0,0.7500897304467781,1.0451914584605806,0.9986156096397448,0.7176577309113819
51,5,4.0,1,0.7506593271318887,1.046093714708555,0.9921556210733284,0.7175832495476037
52,5,4.0,2,0.7483003158220194,1.0425896914532489,0.9975947631207762,0.7177323178584047
53,5,4.0,3,0.742057792824725,1.0474438472448415,0.993698965473511,0.7084463713989125
54,5,4.0,4,0.7503484349498658,1.0434742191293729,0.997283545698669,0.7190867020901794
55,5,4.0,5,0.7488313575807307,1.0414992869668844,0.9983034230956532,0.7189936344186288
56,5,4.0,6,0.747954948588495,1.0421014292677029,0.9999993523402636,0.7177371871700549
57,5,4.0,7,0.7319014391050727,1.0458497852825106,0.9818233041143716,0.6998150684778957
58,5,4.0,8,0.7473470995051009,1.0434953630964543,0.999028587956728,0.7161958988369944
59,5,4.0,9,0.7452419745705717,1.0403581834324414,0.9906601734461666,0.7163321118038442
60,6,8.0,0,0.7489795752306672,1.0437459921873284,0.9992812648091683,0.717587977186927
